"CASE_ID"	"STUDY_ID"	"FOREST_NR"	"FOREST_NAME"	"AUTHOR"	"YEAR"	"PEER_OR_GREY"	"DAMAGE_OR_HERBIVORES"	"UNITY"	"HERBIVORE_GUILD"	"HERBIVORE_SPECIES"	"HERBIVORE_SPECIFICITY"	"TREE_DIV_METRIC"	"SAMPLING_ON"	"BETA_ESTIMATE"	"R_SQUARE"	"R_SQUARE_ADJUSTED"	"P_VALUE"	"PLOT_NUMBER"	"MIN_RICH"	"MAX_RICH"	"MAX_DAMAGE_FOR_STANDARD"	"NATURAL_OR_PLANTATIONS"	"SURROUNDING"	"AGE_FOREST"	"FORMER_LAND_USE"	"GPS_DEZ_X"	"GPS_DEZ_Y"	"ALTITUDE"	"ECOREGION"	"FOCAL_SPECIES"	"JUST_FOCAL"	"PLOT_SIZE"	"X"	"bio1"
"37"	37	115	1	"Eastern Amazon"	"Ramos"	2000	"peer"	"abundance"	"abundance"	"insects"	"lepidoptera"	""	"species_richness"	"traps"	-13,672	0,7187	0,6906	0,0004958	12	1	54	NA	"forest"	"mosaic"	200	"mosaic"	-47,5363	-5,00053	320	"tropical"	"pooled"	"pooled"	NA	""	25,6784238336
"38"	38	115	1	"Eastern Amazon"	"Ramos"	2000	"peer"	"richness"	"species_richnes"	"insects"	"lepidoptera"	""	"species_richness"	"traps"	-0,4138	0,3107	0,2481	0,01478	12	1	54	NA	"forest"	"mosaic"	200	"mosaic"	-47,5363	-5,00053	320	"tropical"	"pooled"	"pooled"	NA	""	25,6784238336
"39"	39	118	1	"Forest of Rennes"	"Yguel_al"	2011	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	0,008193	0,000586	-0,06188	0,924	18	1	5	"1,00000000"	"plantation"	"forest"	200	"forest"	-1,718366	48,11033	50	"temperate"	"Quercus"	"yes"	"1,00000000"	"2006 data, Plot size is one tree"	11,289042323072
"40"	40	118	2	"Forest of Rennes"	"Yguel_al"	2011	"peer"	"abundance"	"abundance_per_leaf"	"insects"	"lepidoptera"	""	"shannon"	"trees"	0,0009239	0,0003803	-0,0496	0,9314	22	1	7	NA	"plantation"	"forest"	200	"forest"	-1,718366	48,11033	50	"temperate"	"Quercus"	"yes"	"1,00000000"	"2010 data, Plot size is one tree"	11,289042323072
"41"	41	118	2	"Forest of Rennes"	"Yguel_al"	2011	"peer"	"damage"	"percentage_damage"	"insects"	"lepidoptera"	""	"shannon"	"trees"	-0,009707	0,00742	-0,04221	0,7031	22	1	7	"1,00000000"	"plantation"	"forest"	200	"forest"	-1,718366	48,11033	50	"temperate"	"Quercus"	"yes"	"1,00000000"	"2010 data, Plot size is one tree"	11,289042323072
"42"	42	120	1	"ORPHEE"	"Castagneyrol_al"	2013	"peer"	"damage"	"percentage_damage"	"insects"	"leaf_chewers"	""	"species_richness"	"saplings"	0,01	NA	NA	NA	75	1	5	NA	"plantation"	"mosaic"	2	"forest"	-0,748803	44,719736	70	"temperate"	"Quercus rubor"	"yes"	"400,00000000"	""	12,5880329819392
"43"	43	120	1	"ORPHEE"	"Castagneyrol_al"	2013	"peer"	"damage"	"percentage_damage"	"insects"	"leaf_miners"	""	"species_richness"	"saplings"	-0,185	NA	NA	NA	75	1	5	NA	"plantation"	"mosaic"	2	"forest"	-0,748803	44,719736	70	"temperate"	"Quercus rubor"	"yes"	"400,00000000"	""	12,5880329819392
"44"	44	131	1	"Tain Tributaries Block II Forest Reserve"	"Opuni-Frimpong_al"	2013	"peer"	"damage"	"percentage_attacked"	"insects"	"Hypsipyla robusta"	""	"shannon"	"saplings"	0,03078	0,03849	-0,1218	0,6415	8	1	2	"1,00000000"	"plantation"	"grassland"	4	"grassland"	-2,5	7,583333	240	"tropical"	"Khaya grandifoliola"	"yes"	"1800,00000000"	""	26,2499984
"45"	45	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	-66,9761664	0,01834921	0,00251614	0,28586155	64	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"11"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"46"	46	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	42,6664642	0,02686356	-0,03395747	0,51577665	18	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"21"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"47"	47	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	-9,34026711	0,03115864	-0,93768272	0,88703318	3	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"34"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"48"	48	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	0,97741913	0,00015829	-0,03983538	0,95033756	27	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"41"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"49"	49	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	28,8751553	0,57840176	0,15680353	0,44988106	3	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"61"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"50"	50	132	1	"Pohorje hunting district"	"Jerina_al"	2008	"peer"	"damage"	"damage"	"mammals"	"pooled"	""	"shannon"	"trees"	1041,34211	0,65993731	0,57492164	0,04950718	6	NA	NA	NA	"forest"	"forest"	200	"natural"	15,399	46,479	1270	"temperate"	"85"	"yes"	"500,34400000"	"calculated from raw dataset"	3,95738720000042
"51"	51	142	1	"Mamirau† Sustainable Development Reserve"	"Juli∆o_al"	2008	"grey"	"richness"	"species_richnes"	"insects"	"galls"	""	"species_richness"	"trees"	94,25	0,4471	0,355	0,006974	8	6	44	NA	"forest"	"forest"	200	"forest"	-65,709869	-2,21512	50	"tropical"	"pooled"	"pooled"	"800,00000000"	""	26
"52"	52	142	1	"Mamirau† Sustainable Development Reserve"	"Juli∆o_al"	2008	"grey"	"abundance"	"abundance"	"insects"	"galls"	""	"species_richness"	"trees"	1,0436	0,7291	0,6839	0,06982	8	6	44	NA	"forest"	"forest"	200	"forest"	-65,709869	-2,21512	50	"tropical"	"pooled"	"pooled"	"800,00000000"	""	26
"53"	53	144	1	"Hainch National Park"	"Sobek_al"	2008	"peer"	"damage"	"percentage_attacked"	"insects"	"pooled"	""	"shannon"	"saplings"	-0,9666	0,6624	0,6142	0,007591	9	1	10	"100,00000000"	"forest"	"forest"	200	"forest"	10,512044	51,110747	220	"temperate"	"Fagus sylvatica"	"yes"	"250,00000000"	"mammals excluded"	8,09605959280646
"54"	54	144	1	"Hainch National Park"	"Sobek_al"	2008	"peer"	"abundance"	"percentage_occupied"	"insects"	"miners"	""	"shannon"	"saplings"	-0,2783	0,2603	0,1546	0,1606	9	1	10	"100,00000000"	"forest"	"forest"	200	"forest"	10,512044	51,110747	220	"temperate"	"Fagus sylvatica"	"yes"	"250,00000000"	"mammals excluded"	8,09605959280646
"55"	55	144	1	"Hainch National Park"	"Sobek_al"	2008	"peer"	"abundance"	"percentage_occupied"	"insects"	"galls"	""	"shannon"	"saplings"	-0,9215	0,379	0,281	0,08173	9	1	10	"100,00000000"	"forest"	"forest"	200	"forest"	10,512044	51,110747	220	"temperate"	"Fagus sylvatica"	"yes"	"250,00000000"	"mammals excluded"	8,09605959280646
"56"	56	147	1	"Kibale National Park"	"Heimonen_al"	2013	"peer"	"abundance"	"abundance"	"insects"	"lepidoptera"	""	"shannon"	"trees"	732,6	0,4045	0,2854	0,1247	7	14	34	NA	"forest"	"mosaic"	200	"forest"	30,389661	0,486192	1400	"tropical"	"Neoboutonia macrocalyx"	"yes"	"1,00000000"	"Plot size is one tree"	20,3988352000001
"57"	57	147	1	"Kibale National Park"	"Heimonen_al"	2013	"peer"	"richness"	"species_richnes"	"insects"	"lepidoptera"	""	"shannon"	"trees"	4,901	0,5966	0,5159	0,04182	7	14	34	NA	"forest"	"mosaic"	200	"forest"	30,389661	0,486192	1400	"tropical"	"Neoboutonia macrocalyx"	"yes"	"1,00000000"	"Plot size is one tree"	20,3988352000001
"58"	58	157	1	"Bobiri Forest Reserve"	"Bosu_al"	2006	"peer"	"abundance"	"abundance"	"insects"	"galls"	""	"shannon"	"trees"	-6,293	0,5863	0,3795	0,2343	4	1	2	NA	"plantation"	"mosaic"	8	"forest"	-1,289811	6,625174	190	"tropical"	"Milicia excelsa"	"yes"	"100,00000000"	""	26,2770365982336
"59"	59	159	1	"Bobiri Forest Reserve"	"Nichols_al"	1999	"peer"	"abundance"	"abundance"	"insects"	"galls"	"o"	"shannon"	"saplings"	1,58	0,004867	-0,161	0,8696	8	1	2	NA	"plantation"	"mosaic"	0,5	"forest"	-1,289811	6,625174	190	"tropical"	"Milicia excelsa"	"yes"	"100,00000000"	""	26,2770365982336
"60"	60	164	1	"Serra do Cip¢ Forest"	"Lara_al"	2002	"peer"	"richness"	"species_richnes"	"insects"	"galls"	""	"species_richness"	"trees"	0,569	0,3	NA	0,03	24	NA	NA	NA	"forest"	"forest"	200	"forest"	-43,619054	-19,349268	1150	"tropical"	"pooled"	"pooled"	NA	"xeric habitat"	20,4677243185152
"61"	61	164	2	"Serra do Cip¢ Forest"	"Lara_al"	2002	"peer"	"richness"	"species_richnes"	"insects"	"galls"	""	"species_richness"	"trees"	0	0,1081732	NA	0,11	21	NA	NA	NA	"forest"	"forest"	200	"forest"	-43,619054	-19,349268	1150	"tropical"	"pooled"	"pooled"	NA	"mesic habitat"	20,4677243185152
"62"	62	165	1	"Solling Mountains"	"Salamon_Alphei"	2009	"peer"	"abundance"	"abundance"	"insects"	"Entomobryidae/Tomoceridae"	""	"shannon"	"trees"	-1696,4	0,1101	-0,01705	0,3831	9	1	2	NA	"forest"	"mosaic"	NA	"mosaic"	9,570439	51,731769	460	"temperate"	"pooled"	"pooled"	"2,00000000"	""	7,29407120000005
"63"	63	166	2	"Solling Mountains"	"Heiermann_SchÅtz"	2008	"peer"	"abundance"	"abunance"	"insects"	"Callitrea pudibunda"	""	"shannon"	"traps"	-190,04	0,1622	0,1323	0,02732	5	1	2	NA	"forest"	"mosaic"	NA	"mosaic"	9,570439	51,731769	460	"temperate"	"pooled"	"pooled"	NA	""	7,29407120000005
